info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: fetching blog with id 343
info: Blog app started
info: fetching blog with id 343
error: An error occurred while fetching the blog
info: Blog app started
info: Blog app started
info: Blog app started
info: fetching blog with id 6521bb8fe900326db2742f0a
info: Blog app started
2023-10-10T19:52:24.425Z [info]: connecting to DB
2023-10-10T19:52:36.612Z [info]: connecting to DB
2023-10-10T19:52:50.138Z [info]: connecting to DB
2023-10-10T19:52:56.277Z [info]: fetching blog with id 6521bb8fe900326db2742f0a
2023-10-10T19:53:15.313Z [info]: connecting to DB
2023-10-10T19:55:01.497Z [info]: connecting to DB
2023-10-10T19:55:30.610Z [info]: connecting to DB
2023-10-10T19:56:28.103Z [info]: connecting to DB
2023-10-10T19:56:35.106Z [info]: connecting to DB
2023-10-10T19:57:09.485Z [info]: connecting to DB
2023-10-10T19:57:17.021Z [info]: connecting to DB
2023-10-10T19:57:22.992Z [info]: connecting to DB
2023-10-10T19:57:37.660Z [info]: connecting to DB
2023-10-10T19:58:01.425Z [info]: connecting to DB
2023-10-10T19:58:05.348Z [info]: connecting to DB
2023-10-10T19:58:34.107Z [info]: connecting to DB
2023-10-10T19:58:39.120Z [info]: connecting to DB
2023-10-10T20:04:21.038Z [info]: connecting to DB
2023-10-10T20:04:28.291Z [info]: connecting to DB
2023-10-10T20:05:05.540Z [info]: connecting to DB
2023-10-10T20:05:13.052Z [info]: connecting to DB
2023-10-10T20:05:30.551Z [info]: connecting to DB
2023-10-10T20:05:42.844Z [info]: connecting to DB
2023-10-10T20:05:48.398Z [info]: connecting to DB
2023-10-10T20:05:58.327Z [info]: connecting to DB
2023-10-10T20:06:05.053Z [info]: connecting to DB
2023-10-10T20:06:10.069Z [info]: connecting to DB
2023-10-10T20:07:15.099Z [info]: connecting to DB
2023-10-10T20:08:03.840Z [info]: connecting to DB
2023-10-10T20:11:21.281Z [info]: connecting to DB
2023-10-10T20:11:25.145Z [info]: connecting to DB
2023-10-10T20:12:01.438Z [info]: connecting to DB
2023-10-10T20:14:38.599Z [info]: connecting to DB
2023-10-10T20:15:38.553Z [info]: connecting to DB
2023-10-10T20:15:46.238Z [info]: connecting to DB
2023-10-10T20:16:01.617Z [info]: connecting to DB
2023-10-10T20:16:13.424Z [info]: connecting to DB
2023-10-10T20:16:19.781Z [info]: connecting to DB
2023-10-10T20:16:40.053Z [info]: connecting to DB
2023-10-10T20:16:43.530Z [info]: connecting to DB
2023-10-10T20:16:52.033Z [info]: connecting to DB
2023-10-10T20:17:14.963Z [info]: connecting to DB
2023-10-10T20:17:23.740Z [info]: connecting to DB
2023-10-10T20:17:29.507Z [info]: connecting to DB
2023-10-10T20:17:44.664Z [info]: connecting to DB
2023-10-10T20:17:53.336Z [info]: connecting to DB
2023-10-10T20:18:12.119Z [info]: connecting to DB
2023-10-10T20:18:19.070Z [info]: connecting to DB
2023-10-10T20:18:26.341Z [info]: connecting to DB
2023-10-10T20:18:34.330Z [info]: connecting to DB
2023-10-10T20:18:42.013Z [info]: connecting to DB
2023-10-10T20:18:53.277Z [info]: connecting to DB
2023-10-10T20:20:56.873Z [info]: connecting to DB
2023-10-10T20:21:07.120Z [info]: connecting to DB
2023-10-10T20:21:12.694Z [info]: connecting to DB
2023-10-10T20:21:23.196Z [info]: connecting to DB
2023-10-10T20:21:29.852Z [info]: connecting to DB
2023-10-10T20:21:59.354Z [info]: connecting to DB
2023-10-10T20:23:39.904Z [info]: connecting to DB
2023-10-10T20:23:50.855Z [info]: connecting to DB
2023-10-10T20:24:00.897Z [info]: connecting to DB
2023-10-10T20:24:07.651Z [info]: connecting to DB
2023-10-10T20:24:12.687Z [info]: connecting to DB
2023-10-10T20:24:19.739Z [info]: connecting to DB
2023-10-10T20:24:30.388Z [info]: connecting to DB
2023-10-10T20:24:37.964Z [info]: connecting to DB
2023-10-10T20:36:21.260Z [info]: connecting to DB
2023-10-10T20:37:03.344Z [info]: connecting to DB
2023-10-10T20:37:53.216Z [info]: connecting to DB
2023-10-10T20:38:06.528Z [info]: connecting to DB
2023-10-10T20:38:10.730Z [info]: connecting to DB
2023-10-10T20:38:37.039Z [info]: connecting to DB
2023-10-10T20:38:54.262Z [info]: connecting to DB
2023-10-10T20:39:00.512Z [info]: connecting to DB
2023-10-10T20:39:09.205Z [info]: connecting to DB
2023-10-10T20:39:15.458Z [info]: connecting to DB
2023-10-10T20:39:23.636Z [info]: connecting to DB
2023-10-10T20:39:44.222Z [info]: connecting to DB
2023-10-10T20:41:21.376Z [info]: connecting to DB
2023-10-10T20:41:44.744Z [info]: connecting to DB
2023-10-10T20:41:53.356Z [info]: connecting to DB
2023-10-10T20:42:28.993Z [info]: connecting to DB
2023-10-10T20:42:55.441Z [info]: connecting to DB
2023-10-10T20:43:13.322Z [info]: connecting to DB
2023-10-10T20:43:46.911Z [info]: connecting to DB
2023-10-10T20:44:07.701Z [info]: connecting to DB
2023-10-10T20:44:30.130Z [info]: fetching blog with id 6525b409978982da349b6918
2023-10-10T20:44:32.268Z [info]: blog deleted with id 6525b409978982da349b6918 
2023-10-10T20:45:50.376Z [info]: connecting to DB
2023-10-10T20:47:05.185Z [info]: connecting to DB
2023-10-10T20:53:12.892Z [info]: connecting to DB
2023-10-11T13:28:49.764Z [info]: connecting to DB
2023-10-11T17:29:23.092Z [info]: connecting to DB
2023-10-11T17:29:37.918Z [info]: fetching blog with id 6521bb8fe900326db2742f0a
2023-10-11T17:29:43.687Z [info]: blog deleted with id 6521bb8fe900326db2742f0a 
2023-10-11T17:30:27.913Z [info]: connecting to DB
2023-10-11T17:32:03.946Z [info]: connecting to DB
2023-10-11T17:33:30.181Z [info]: connecting to DB
2023-10-11T17:35:16.870Z [info]: connecting to DB
2023-10-11T17:35:57.111Z [info]: connecting to DB
2023-10-11T17:36:06.014Z [info]: connecting to DB
2023-10-11T17:36:40.530Z [info]: connecting to DB
2023-10-11T17:36:50.462Z [info]: connecting to DB
2023-10-11T17:41:55.202Z [info]: connecting to DB
2023-10-11T17:42:00.902Z [info]: connecting to DB
2023-10-11T17:43:03.116Z [info]: connecting to DB
2023-10-11T17:43:46.729Z [info]: connecting to DB
2023-10-11T17:44:42.741Z [info]: connecting to DB
2023-10-11T17:45:52.374Z [info]: connecting to DB
2023-10-11T17:46:09.595Z [info]: connecting to DB
2023-10-11T17:46:24.525Z [info]: connecting to DB
2023-10-11T17:46:28.077Z [info]: connecting to DB
2023-10-11T17:48:01.511Z [info]: connecting to DB
2023-10-11T17:48:09.412Z [info]: connecting to DB
2023-10-11T17:50:45.469Z [info]: connecting to DB
2023-10-11T18:12:53.531Z [info]: connecting to DB
2023-10-11T18:14:28.138Z [info]: connecting to DB
2023-10-11T18:14:31.216Z [info]: connecting to DB
2023-10-11T18:14:33.783Z [info]: connecting to DB
2023-10-11T18:15:03.058Z [info]: connecting to DB
2023-10-11T18:15:09.877Z [info]: connecting to DB
2023-10-11T18:15:17.193Z [info]: connecting to DB
2023-10-11T18:15:22.103Z [info]: connecting to DB
2023-10-11T18:15:28.977Z [info]: connecting to DB
2023-10-11T18:15:35.727Z [info]: connecting to DB
2023-10-11T18:15:59.365Z [info]: connecting to DB
2023-10-11T18:17:38.601Z [info]: connecting to DB
